                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76763,                 4.2107,                 1.1896,                0.40502,                    0.4,                 0.3383,                0.27604,                0.60027,                 4.1445,                 1.1072,                      0,                      0,                      0
                      2,                 0.8513,                 3.5146,                 1.3659,                0.40516,                    0.4,                0.35931,                0.29541,                0.58242,                 4.1441,                 1.1033,                1.1e-05,                1.1e-05,                1.1e-05
                      3,                0.65609,                 4.3685,                 1.0852,                0.40575,                    0.4,                0.35931,                0.29549,                 0.5767,                 4.1381,                 1.1058,              2.178e-05,              2.178e-05,              2.178e-05
                      4,                 0.6172,                 3.5005,                 1.1354,                0.40599,                    0.4,                0.35931,                 0.2949,                0.56046,                 4.1574,                 1.0966,              3.234e-05,              3.234e-05,              3.234e-05
                      5,                 1.3057,                 5.1518,                 1.8857,                0.39831,                0.51559,                0.37589,                 0.3015,                0.57745,                 4.1318,                 1.1028,              4.268e-05,              4.268e-05,              4.268e-05
                      6,                0.45506,                 3.9058,                 1.0529,                0.41225,                    0.6,                0.54488,                0.51699,                0.64186,                 4.4268,                 1.1334,               5.28e-05,               5.28e-05,               5.28e-05
                      7,                0.75268,                 2.5545,                 1.3129,                0.78654,                0.76273,                 0.7164,                0.68655,                0.56793,                 5.6288,                 1.0322,               6.27e-05,               6.27e-05,               6.27e-05
                      8,                0.78749,                  1.932,                 1.2607,                0.42534,                      1,                 0.8955,                0.79015,                0.57948,                 7.4467,                 1.0793,             7.2381e-05,             7.2381e-05,             7.2381e-05
                      9,                0.42642,                 1.9158,                 1.0173,                0.85176,                  0.552,                 0.8955,                0.78615,                0.55633,                 9.5008,                 1.0105,             8.1841e-05,             8.1841e-05,             8.1841e-05
                     10,                0.79118,                 1.9327,                 1.3941,                0.81755,                    0.6,                0.69749,                0.53334,                0.53428,                 9.3114,                0.97752,             9.1081e-05,             9.1081e-05,             9.1081e-05
                     11,                0.49071,                 1.0778,                 1.0492,                0.86924,                    0.6,                0.81409,                0.54152,                0.54399,                 8.5605,                0.96633,              0.0001001,              0.0001001,              0.0001001
